date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:35:52.077915+05:30,24822.4,24823.05,24816.2,24816.3,24816.3,,
2025-09-04,2025-09-04 11:35:52.578308+05:30,24822.4,24823.05,24815.65,24815.65,24815.65,,
2025-09-04,2025-09-04 11:35:52.827998+05:30,24822.4,24823.05,24814.95,24814.95,24814.95,,
2025-09-04,2025-09-04 11:35:53.577971+05:30,24822.4,24823.05,24814.95,24815.75,24815.75,,
2025-09-04,2025-09-04 11:35:54.078114+05:30,24822.4,24823.05,24814.95,24815.0,24815.0,,
2025-09-04,2025-09-04 11:35:54.577948+05:30,24822.4,24823.05,24814.95,24815.3,24815.3,,
2025-09-04,2025-09-04 11:35:55.078577+05:30,24822.4,24823.05,24814.95,24815.35,24815.35,,
2025-09-04,2025-09-04 11:35:55.581932+05:30,24822.4,24823.05,24814.95,24815.5,24815.5,,
2025-09-04,2025-09-04 11:35:56.078176+05:30,24822.4,24823.05,24814.95,24816.1,24816.1,,
2025-09-04,2025-09-04 11:35:56.578033+05:30,24822.4,24823.05,24814.95,24815.25,24815.25,,
2025-09-04,2025-09-04 11:35:57.078019+05:30,24822.4,24823.05,24814.95,24815.3,24815.3,,
2025-09-04,2025-09-04 11:35:57.577898+05:30,24822.4,24823.05,24814.95,24815.1,24815.1,,
2025-09-04,2025-09-04 11:35:58.078380+05:30,24822.4,24823.05,24814.95,24815.35,24815.35,,
2025-09-04,2025-09-04 11:35:58.577838+05:30,24822.4,24823.05,24814.3,24814.3,24814.3,,
2025-09-04,2025-09-04 11:35:59.077919+05:30,24822.4,24823.05,24814.3,24814.6,24814.6,,
2025-09-04,2025-09-04 11:35:59.577845+05:30,24822.4,24823.05,24814.3,24814.8,24814.8,,
2025-09-04,2025-09-04 11:36:00.077845+05:30,24814.8,24814.8,24814.8,24814.8,24814.8,,
2025-09-04,2025-09-04 11:36:00.578011+05:30,24814.8,24814.8,24814.0,24814.0,24814.0,,
2025-09-04,2025-09-04 11:36:01.078035+05:30,24814.8,24814.8,24814.0,24814.0,24814.0,,
2025-09-04,2025-09-04 11:36:01.577893+05:30,24814.8,24814.8,24814.0,24814.1,24814.1,,
2025-09-04,2025-09-04 11:36:02.077827+05:30,24814.8,24814.8,24814.0,24814.4,24814.4,,
2025-09-04,2025-09-04 11:36:02.577829+05:30,24814.8,24814.8,24814.0,24814.15,24814.15,,
2025-09-04,2025-09-04 11:36:03.078294+05:30,24814.8,24814.8,24813.65,24813.65,24813.65,,
2025-09-04,2025-09-04 11:36:03.577901+05:30,24814.8,24814.8,24813.65,24814.25,24814.25,,
2025-09-04,2025-09-04 11:36:04.077783+05:30,24814.8,24814.8,24813.55,24813.55,24813.55,,
2025-09-04,2025-09-04 11:36:04.577794+05:30,24814.8,24814.8,24813.55,24814.35,24814.35,,
2025-09-04,2025-09-04 11:36:04.827867+05:30,24814.8,24814.8,24813.35,24813.35,24813.35,,
2025-09-04,2025-09-04 11:36:05.577896+05:30,24814.8,24814.8,24813.3,24813.3,24813.3,,
2025-09-04,2025-09-04 11:36:06.077791+05:30,24814.8,24814.8,24813.3,24813.7,24813.7,,
2025-09-04,2025-09-04 11:36:06.577921+05:30,24814.8,24814.8,24812.8,24812.8,24812.8,,
2025-09-04,2025-09-04 11:36:07.078088+05:30,24814.8,24814.8,24812.8,24813.45,24813.45,,
2025-09-04,2025-09-04 11:36:07.577864+05:30,24814.8,24814.8,24812.35,24812.35,24812.35,,
2025-09-04,2025-09-04 11:36:08.078569+05:30,24814.8,24814.8,24812.35,24813.05,24813.05,,
2025-09-04,2025-09-04 11:36:08.578051+05:30,24814.8,24814.8,24811.75,24811.75,24811.75,,
2025-09-04,2025-09-04 11:36:09.088135+05:30,24814.8,24814.8,24811.75,24814.2,24814.2,,
2025-09-04,2025-09-04 11:36:09.577836+05:30,24814.8,24814.8,24811.75,24813.8,24813.8,,
2025-09-04,2025-09-04 11:36:10.077588+05:30,24814.8,24814.8,24811.75,24814.35,24814.35,,
